id;description;C2A
874458912592533;"Wenn Du Wert drauf legst, dann erwarten wir dies von Dir ebenfalls. Also troll Dich. Übrigens kommt hinter dem Komma ein Leerzeichen und nicht davor ;-)";FALSE
855617527810005;"Macht was ihr wollt, aber schreibt nicht ""Wir sind das Volk!"" Ihr seid nicht das Volk, ihr seid der verblendete, verblödete, braune Bodensatz des Volkes. Ihr seid der widerliche, nervende kleine Pickel am Arsch der Gesellschaft, aber sicherlich nicht das Volk!";FALSE
1111407378897684;Tja, wohl etwas schwierig, jetzt das Geld per Chip in die Heimat zu überweisen;FALSE
945847662120324;UInd das Glaube ich nicht,,,in Hotels in Arfrika habe ich sein Bild an der Wand hängen gesehen,,,das wahren seine Freunde!!!!!;FALSE
993541110684312;und kein TTIP;FALSE
882773735094384;Das ganze Gesindel dieser Welt kommt nach Deutschland. Alle haben angeblich ihre Ausweispapiere auf der Flucht (vor der Polizei?) verloren und unsere Behörden sind gar nicht in der Lage, die wahre Identität der Flüchtlinge festzustellen.;FALSE
876381145733643;"Inzwischen könnte ich beidem Wort ""bunt"" nur noch kotzen. Solange wirklich Fachkräfte kommen, hat ja kein Mensch was dagegen. Auch die Spanier und Italiener, die hier ihre Ausbildung machen, sind doch willkommen. Dieses Getue in den Medien geht mir tierisch auf den Senkel. Und sie wissen immer noch nicht (oder wollen es nicht wissen) worum es uns geht.";FALSE
1043729178998838;Dieses Schreiben wurde dem Journalisten Albrecht Müller/ehemals Leiter Bundeskanzleramt zugespielt.;FALSE
951542348217522;In der Regierung haben doch schon alle das sonnenkönigsyndrom, lol;FALSE
935393163165774;Korrekt, dass beste Beispiel warum Religionen, wenn sie zu streng ausgelegt werden, reiner Mist sind.;FALSE
1095910193780736;Diese pisser!!!;FALSE
1007230049315418;völliger Quatsch, welche Partei mit den Grünen oder Linken sympathisiert kann nichts gutes für das deutsche Volk wollen ebenso wie die komischen Christlichen.;FALSE
1012234442148312;http://www.weihnachtsmarkt-dresden.net/;FALSE
1043633089008447;die aus sicheren herkunftsländern nach hause schicken.;TRUE
982685418436548;Ramon De la Perez, ??????????Realist ??????????wohl eher medienverblödet ????????;FALSE
1106091616095927;https://wissenschaft3000.files.wordpress.com/2014/08/arschtritt.jpg?w=600;FALSE
945850138786743;Die Würde des Menschen ist unantastbar. Es sei denn, man ist Deutscher.;FALSE
1012885632083193;Was hat der Schuster gegen Pegida gehetzt und nun hat er ähnliche Erkenntnisse.;FALSE
1057688570936232;Prima;FALSE
876541172384307;"jep...haben sie Recht...wir wollen och keene Schmarotzer und kriminelle ;)";FALSE
982694038435686;Ja es gibt ein Asyl Recht .... Das weiß ich .... Und laut eu muss man sich im ersten eu Land registrieren lassen .... Und das ist Deutschland ??? Ungarn befolgt dir Regeln Europas .... Und Ungarn lässt sie nicht über die grüne Grenze .... Deutschland macht doch auch langsam die Grenzen dicht ....;FALSE
855026827869075;"Ein gutes hat das ganze mit den Promis  ,sie kommen dann nicht mit der Ente Bombenalarm oder sollte womöglich kurz vorher so eine Meldung ein gehen . Die  Promis sehen das sicherlich eher als Verkaufveranstaltung  für ihre CD  die haben alle Dollerzeichen in den Augen ..Aber ich hab noch nie gehört das ein Türke vom Gröhnemeyer  oder so eine CD gekauft hat .  ;)";FALSE
876274792410945;Es gibt leider noch zu viele Deutsche Frauen die diese Männer auch nehmen und sich dann wundern warum die *Beziehung so scheiße ist oder gar die Kinder entführt werden.;FALSE
