"document","comment_id","type","start","end"
"NDY-274","2","positive feedback","0","42"
"NDY-274","5","compliment","0","61"
"NDY-274","6","positive feedback","0","17"
"NDY-274","9","compliment","97","141"
"NDY-274","9","encouragement","146","217"
"NDY-274","12","positive feedback","0","34"
"NDY-274","13","affection declaration","0","20"
"NDY-274","13","affection declaration","21","40"
"NDY-274","14","compliment","0","43"
"NDY-274","14","positive feedback","0","27"
"NDY-274","16","positive feedback","278","310"
"NDY-274","17","positive feedback","0","13"
"NDY-274","17","encouragement","16","46"
"NDY-274","18","affection declaration","0","32"
"NDY-274","18","compliment","35","117"
"NDY-274","18","compliment","152","217"
"NDY-274","19","positive feedback","0","21"
"NDY-274","19","encouragement","88","109"
"NDY-274","20","compliment","16","56"
"NDY-274","21","positive feedback","0","57"
"NDY-274","21","positive feedback","58","104"
"NDY-274","21","affection declaration","105","168"
"NDY-274","21","affection declaration","169","208"
"NDY-274","21","positive feedback","335","337"
"NDY-274","22","gratitude","0","11"
"NDY-274","25","affection declaration","0","37"
"NDY-274","27","positive feedback","24","32"
"NDY-274","28","affection declaration","0","30"
"NDY-274","28","affection declaration","33","52"
"NDY-274","28","compliment","53","82"
"NDY-274","28","compliment","87","142"
"NDY-274","33","compliment","0","40"
"NDY-274","33","compliment","41","76"
"NDY-274","34","positive feedback","0","86"
"NDY-274","35","positive feedback","0","34"
"NDY-274","36","positive feedback","0","28"
"NDY-274","36","encouragement","31","58"
"NDY-274","39","positive feedback","239","275"
"NDY-274","41","compliment","102","152"
"NDY-274","41","positive feedback","265","290"
"NDY-274","42","positive feedback","156","217"
"NDY-274","42","encouragement","156","217"
"NDY-274","43","compliment","0","94"
"NDY-274","43","gratitude","95","103"
"NDY-274","45","positive feedback","0","32"
"NDY-274","46","positive feedback","0","37"
"NDY-274","47","compliment","147","161"
"NDY-274","48","positive feedback","16","36"
"NDY-274","48","affection declaration","41","56"
"NDY-274","48","encouragement","57","73"
"NDY-274","48","group membership","143","163"
"NDY-274","49","affection declaration","5","38"
"NDY-274","50","affection declaration","0","35"
"NDY-274","50","compliment","148","219"
"NDY-274","50","compliment","265","284"
"NDY-274","50","affection declaration","350","508"
"NDY-274","51","positive feedback","0","64"
"NDY-274","51","encouragement","67","80"
"NDY-274","51","positive feedback","211","265"
"NDY-274","53","compliment","0","19"
"NDY-274","53","affection declaration","24","44"
"NDY-274","55","positive feedback","0","33"
"NDY-274","55","encouragement","36","67"
"NDY-274","56","affection declaration","0","15"
"NDY-274","58","positive feedback","0","40"
"NDY-274","59","positive feedback","0","17"
"NDY-274","59","encouragement","18","52"
"NDY-274","60","positive feedback","282","320"
"NDY-274","62","agreement","14","77"
"NDY-274","63","positive feedback","0","76"
"NDY-274","64","encouragement","0","53"
"NDY-274","66","positive feedback","241","277"
"NDY-274","72","positive feedback","0","84"
"NDY-274","72","positive feedback","85","140"
"NDY-274","73","positive feedback","0","38"
"NDY-274","74","positive feedback","4","47"
"NDY-274","74","positive feedback","48","71"
"NDY-274","74","compliment","74","199"
"NDY-274","77","compliment","0","19"
"NDY-274","77","encouragement","20","37"
"NDY-274","82","encouragement","0","38"
"NDY-274","83","compliment","0","22"
"NDY-274","83","positive feedback","53","62"
"NDY-274","84","positive feedback","3","52"
"NDY-274","84","encouragement","57","107"
"NDY-274","85","positive feedback","0","45"
"NDY-274","85","encouragement","48","82"
"NDY-274","86","positive feedback","36","51"
"NDY-274","88","positive feedback","0","25"
"NDY-274","88","compliment","28","63"
"NDY-274","88","positive feedback","68","121"
