document,comment_id,comment,flausch
NDY-003,2854,weil ich ihn mag und warum hat das dich zu interessieren,no
NDY-003,866,geile stimme . ihr beide seid echt hamma ;) ♥ ♥ ♥ ♥ ♥ geil 3 3 3 3 3 3,yes
NDY-186,7511,Kann ich verstehen,no
NDY-208,10638,Nein,no
NDY-179,3237,Ihr habt ein sing fehler . Das heißt der leptop,no
NDY-003,2824,nicht mal richtig durch gehört und des gefällt mit schon habt echt was geschafft was nicht viele schaffen :)))),yes
NDY-020,960,ich liebe dieses FIDE sooooooo sehr,yes
NDY-208,8107,Unleqit Caspar Ich bin mal morgens beim stehen eingeschlafen als ich mir ein T-Shirt angezogen habe,no
NDY-208,5476,3 bis 4 minuten,no
NDY-250,1320,Im Sommer wie im Winter kurze Hosen und Tshirt :D neja okay im winter wenn es kalt ist noch so eine pyjama hose mit monden und sternen und so :D,no
NDY-250,682,Ich hab einen Spongebob pychama :),no
NDY-003,886,ihr wirkt ein bisschen schwul sorry aber is so !!!!!!,no
NDY-208,11623,Jungs 🙄 😂 ...,no
NDY-274,42,"Ich finde es voll fies , wenn man einen daumen runter deswegen geben würde . Manchmal frage ich mich wirklich , was sich die leute dabei überlegen ... Also ich fand die buchreview klasse und hätte gern mehr davon ! :)",yes
NDY-250,2795,ich schlaf in nem taupe-farbenden maxikleid :) und ich liiebe es ! 3 ansonsten in ner boxer und top 3,no
NDY-247,1265,Du bist der einzigste,no
NDY-208,428,like wenn du eine fanpage für die zwei hast und schreibt in die Kommis ich heisse logischer,no
NDY-179,3563,das lied fon sophia grace best frends,no
NDY-250,224,"boah daruum , ich habe mich soo kaputt gelacht bei deiner nachthemden vorstellung :D köstlich !",yes
NDY-186,6143,+ Mercedes Steinhauer Ihr Image ist eh schon zerstört .,no
NDY-186,1757,#SnapchatArmy @heikolochmann Mein Name :( lulubeautyxo ) Wäre so geil wenn du mir folgst ❤ 🌚 😍 💕,no
NDY-285,5,Ich find das echt mega toll und hoffe das genug spenden eintreffen werden !,yes
NDY-208,10646,big watermölön nein nein 😂,no
NDY-208,8088,Aufstehen Zähneputzen Mundwasser Händewaschen naschen um 7:00 Zocken Und Zu spät in die Schule Kommen das ist Meine Morgen Routine,no
NDY-186,4319,ach du heilige scheiße da mach ich ja bessere videos,no
NDY-186,1737,schenkt denen doch endlich mal clerasil 👐,no
NDY-186,3684,Dielochis parodiert doch mal namika na Mi ka so heißt das okay bros,no
NDY-186,905,ich brauch auch schlaf,no
NDY-179,3600,Geil meine größte angst xD,yes
NDY-208,11880,10 min,no
NDY-179,2080,+ Adolf Hitler fick dich,no
NDY-208,11065,"In der früh ist keine zeit zum tuschen , ich tu nur meine zähne putzen und das dauert ! ALLER HÖCHSTENS ! fast eine minute ! Wochende verzichte ich darauf außer meine mama motzt mich an",no
NDY-186,2554,#snapchatarmy @heikolochmann @lisaannax,no
NDY-186,4550,+ Celine Hoffheinz Boa wie sind die,no
NDY-179,3683,Cooles Lied,yes
NDY-208,8961,In dem Video ist es kurz nach halb 6 und an der Stelle 2:52 ist es auf der Uhr einfach viertel nach 11 😂 😂 😂,no
NDY-252,391,OMG !! Du siehst in dem Video so toll aus !! :* 3,yes
NDY-208,11643,Ich brauch 5 min im bad,no
NDY-003,1112,Nein Das heißt : Mein Herz überspringt ein Schlag ! Ihr Opfa solltet mal english lernen,no
NDY-208,3838,is das euer Haus ? ??? Roman u. Heiko,no
NDY-003,3338,Ich finde Roman kann besser singen :) Aber heiko singt auch sehr gut :D,yes
NDY-179,3290,Das weiß dein Kumpel doch nicht 😆,no
NDY-020,1466,"+ MSP xSurprise Schau mal in die Infobox , da hat sie ihren Hintergedanken erklärt . ^^",no
NDY-003,1142,"Naja , aber Deine Rechtschreibung ist auch nicht die beste . ( : Nicht als Kritik sehen , eher als Verbesserungsvorschlag . ( :",no
NDY-186,671,+ Noemi Orzechowska und du mal ok,no
NDY-003,2493,"Wie sagt man so schön : Gross ist der Wille , klein das Talent . :D",no
NDY-208,6174,das mit dem das mädchen länger brauchen stimmt überhaupt nicht !,no
