id;description;DBO
855025171202574;Der Riese ist geweckt,mit oder ohne Verräter und diese gibt es in jeder Bewegung!;nothing
874452862593138;Gut Ding will Weile haben...  (y);nothing
982690558436034;Sollen sie doch nach Saudi Arabien;nothing
1010187762352980;Volle Zustimmung.??;nothing
876306965741061;"Mal sehen wann wir an der Erderwärmung schuld sind ;)";nothing
1011193028919120;Ich denke Pegida sind alles Leute,die lieben Ihr Deutschland und wolle in Ruhe und Frieden Leben-ohne Islamisten.;nothing
876243622414062;"Für was PEGIDA alles die Schuld trägt ist schon phänomenal.

Alle Probleme die wir ansprechen gab es doch vor PEGIDA schon. Wer sind also die Schuldigen vor PEGIDA? ??
 


#DresdnerCharta
#DresdnerThesen
#PEGIDA";nothing
1007131075991982;"Und der Ami bombt sich durch die Jahrzehnte und Kontinente aus ""Nächstenliebe""??? Ich dachte Herr Steinmeier hat eine Niere gespendet und nicht die linke Hirnhälfte!? Irgendwas scheint da ""schief gelaufen"" zu sein...";criticism
961925653845858;http://www.focus.de/politik/deutschland/nahe-koeln-eltern-sind-empoert-kinder-sollen-foerderschule-fuer-fluechtlinge-raeumen_id_4850984.html;nothing
1405431713396895744;@Co80596434 @SteffenSchlager @Karl_Lauterbach Könnten sie damit leben das ihre Kinder durch die Impfung eventuell Schäden tragen könnten!!! Contagan sagt IHNEN was !!!;nothing
982688955102861;Ramon,Account heute erst erstellt um hier zu provozieren? Blöde Kommentare abgeben,Leute reizen und dann schnell zu Mama rennen und petzen? Sehr armselig. Such dir ein Hobby oder spiel im Sandkasten;nothing
1250;Jemand sollte ihn abknallen!;nothing
1010345525670537;Oli Henze Lies mal etwas im Koran. http://www.thereligionofpeace.com/quran/023-violence.htm Auch rennt keiner von der Pegida mit 'ner Knarre und Sprengstoff durch die Gegend und bringt Leute um.....;nothing
855009284537496;Wurde ja auch mal Zeit mit eurer Ankündigung,hatte schon Entzugserscheinung :-);nothing
876307975740960;ja klar, vielleicht lohndumping-schädlich.!;nothing
1246;Stummel abschneiden u an den Füßen aufhängen 😡😡😡... viel zu wenig, tolle Justiz!;nothing
1111856488852773;"das System hab ich dem BaMF und der Bayrischen Regierung schon letztes Jahr vorgeschlagen....;) freut mich das mal wer auf mich hört....";nothing
951539844884439;spätestens wenn die Zwangsbesetzung kommt, werde ich Schweinebäuerin - diese Tierchen fressen so einiges!;nothing
1056518941053195;??Seniler alter Mann;nothing
982703945101362;SOS Russland! SOS Mr. Putin!;nothing
861962030508888;"In den Medien heute morgen hieß es ja wieder, nur ein paar hundert sind in Dresden gewesen. Das garkeine Demo geplant war wurde nicht gesagt sondern nur wieder hirnlose Kommentare abgelassen und natürlich die Wiener Bewegung wie sie lautstark "" Lügenpresse "" rufen. Alles im Anschein als wäre es Dresden.";nothing
1111814318856990;Ich muss für mein Geld auch von morgens bis abends arbeiten;nothing
1111328588905563;Die Partei Merkel wurde mit den sogenannten Oppositionspolitikern in Deutschland vereinigt! Sie sind dem Chor, in eine Stimme mit Hilfe der verlogenen Propaganda, auf AfD mit der Kritik zusammengebrochen! Die Schande der feigen Position der Macht!!!;criticism
935351449836612;nein natürlich nicht, dies gehört alles zu Deutschland .;nothing
